,Collection,BrandLine,StyleCode,GridValue,Style,Region,Size,Color,Demand,Color_Base,Color_Finish,Is_Multicolor,OpticalOrSun,BrandName,Brand_Tier,Lookalike_ID,Date,Glasses,Sunglasses,Glasses_3m_avg,Sunglasses_3m_avg,Glasses_pct_change,Sunglasses_pct_change,Trend_acetate_frame_glasses,Trend_Calvin_Klein_frames,Trend_FSA_glasses,Trend_metal_frame_glasses,Trend_Lacoste_frames,Trend_Nike_frames,Shape,FrameType,Material,is_summer,is_holiday_season,is_insurance_reset,4m_demand
14,KO,NIKE OPTICAL,NIKE 5059,4615008,NIKE 5059/46/BLACK/T,AMER,46,BLACK/T,0.0,black,shiny,1.0,Optical,Nike,Sport,Nike_black_NK5059,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Plastic,0,1,0,1.0
15,KO,NIKE OPTICAL,NIKE 5059,4615008,NIKE 5059/46/BLACK/T,AMER,46,BLACK/T,0.0,black,shiny,1.0,Optical,Nike,Sport,Nike_black_NK5059,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Plastic,0,1,0,72.0
16,KO,NIKE OPTICAL,NIKE 5059,4615008,NIKE 5059/46/BLACK/T,AMER,46,BLACK/T,0.0,black,shiny,1.0,Optical,Nike,Sport,Nike_black_NK5059,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,306.0
17,KO,NIKE OPTICAL,NIKE 5059,4615008,NIKE 5059/46/BLACK/T,AMER,46,BLACK/T,0.0,black,shiny,1.0,Optical,Nike,Sport,Nike_black_NK5059,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,470.0
18,KO,NIKE OPTICAL,NIKE 5059,4615008,NIKE 5059/46/BLACK/T,AMER,46,BLACK/T,1.0,black,shiny,1.0,Optical,Nike,Sport,Nike_black_NK5059,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,616.0
19,KO,NIKE OPTICAL,NIKE 5059,4615008,NIKE 5059/46/BLACK/T,AMER,46,BLACK/T,71.0,black,shiny,1.0,Optical,Nike,Sport,Nike_black_NK5059,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,660.0
24,KO,NIKE OPTICAL,NIKE 5059,4615301,NIKE 5059/46/VINTAGE,AMER,46,VINTAGE,0.0,green,shiny,0.0,Optical,Nike,Sport,Nike_green_NK5059,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Plastic,0,0,0,0.0
25,KO,NIKE OPTICAL,NIKE 5059,4615301,NIKE 5059/46/VINTAGE,AMER,46,VINTAGE,0.0,green,shiny,0.0,Optical,Nike,Sport,Nike_green_NK5059,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Plastic,0,0,0,0.0
26,KO,NIKE OPTICAL,NIKE 5059,4615301,NIKE 5059/46/VINTAGE,AMER,46,VINTAGE,0.0,green,shiny,0.0,Optical,Nike,Sport,Nike_green_NK5059,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Plastic,0,1,0,1.0
27,KO,NIKE OPTICAL,NIKE 5059,4615301,NIKE 5059/46/VINTAGE,AMER,46,VINTAGE,0.0,green,shiny,0.0,Optical,Nike,Sport,Nike_green_NK5059,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Plastic,0,1,0,47.0
28,KO,NIKE OPTICAL,NIKE 5059,4615301,NIKE 5059/46/VINTAGE,AMER,46,VINTAGE,0.0,green,shiny,0.0,Optical,Nike,Sport,Nike_green_NK5059,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,257.0
29,KO,NIKE OPTICAL,NIKE 5059,4615301,NIKE 5059/46/VINTAGE,AMER,46,VINTAGE,0.0,green,shiny,0.0,Optical,Nike,Sport,Nike_green_NK5059,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,431.0
30,KO,NIKE OPTICAL,NIKE 5059,4615301,NIKE 5059/46/VINTAGE,AMER,46,VINTAGE,1.0,green,shiny,0.0,Optical,Nike,Sport,Nike_green_NK5059,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,583.0
31,KO,NIKE OPTICAL,NIKE 5059,4615301,NIKE 5059/46/VINTAGE,AMER,46,VINTAGE,46.0,green,shiny,0.0,Optical,Nike,Sport,Nike_green_NK5059,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,662.0
36,KO,NIKE OPTICAL,NIKE 5059,4615410,NIKE 5059/46/MIDNIGH,AMER,46,MIDNIGH,0.0,blue,shiny,0.0,Optical,Nike,Sport,Nike_blue_NK5059,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Plastic,0,0,0,0.0
37,KO,NIKE OPTICAL,NIKE 5059,4615410,NIKE 5059/46/MIDNIGH,AMER,46,MIDNIGH,0.0,blue,shiny,0.0,Optical,Nike,Sport,Nike_blue_NK5059,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Plastic,0,0,0,1.0
38,KO,NIKE OPTICAL,NIKE 5059,4615410,NIKE 5059/46/MIDNIGH,AMER,46,MIDNIGH,0.0,blue,shiny,0.0,Optical,Nike,Sport,Nike_blue_NK5059,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Plastic,0,1,0,2.0
39,KO,NIKE OPTICAL,NIKE 5059,4615410,NIKE 5059/46/MIDNIGH,AMER,46,MIDNIGH,0.0,blue,shiny,0.0,Optical,Nike,Sport,Nike_blue_NK5059,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Plastic,0,1,0,52.0
40,KO,NIKE OPTICAL,NIKE 5059,4615410,NIKE 5059/46/MIDNIGH,AMER,46,MIDNIGH,0.0,blue,shiny,0.0,Optical,Nike,Sport,Nike_blue_NK5059,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,320.0
41,KO,NIKE OPTICAL,NIKE 5059,4615410,NIKE 5059/46/MIDNIGH,AMER,46,MIDNIGH,1.0,blue,shiny,0.0,Optical,Nike,Sport,Nike_blue_NK5059,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,506.0
42,KO,NIKE OPTICAL,NIKE 5059,4615410,NIKE 5059/46/MIDNIGH,AMER,46,MIDNIGH,1.0,blue,shiny,0.0,Optical,Nike,Sport,Nike_blue_NK5059,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,661.0
43,KO,NIKE OPTICAL,NIKE 5059,4615410,NIKE 5059/46/MIDNIGH,AMER,46,MIDNIGH,50.0,blue,shiny,0.0,Optical,Nike,Sport,Nike_blue_NK5059,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,767.0
48,KO,NIKE OPTICAL,NIKE 5059,4615900,NIKE 5059/46/CLEAR/S,AMER,46,CLEAR/S,0.0,crystal,shiny,1.0,Optical,Nike,Sport,Nike_crystal_NK5059,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Plastic,0,0,0,0.0
49,KO,NIKE OPTICAL,NIKE 5059,4615900,NIKE 5059/46/CLEAR/S,AMER,46,CLEAR/S,0.0,crystal,shiny,1.0,Optical,Nike,Sport,Nike_crystal_NK5059,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Plastic,0,0,0,0.0
50,KO,NIKE OPTICAL,NIKE 5059,4615900,NIKE 5059/46/CLEAR/S,AMER,46,CLEAR/S,0.0,crystal,shiny,1.0,Optical,Nike,Sport,Nike_crystal_NK5059,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Plastic,0,1,0,0.0
51,KO,NIKE OPTICAL,NIKE 5059,4615900,NIKE 5059/46/CLEAR/S,AMER,46,CLEAR/S,0.0,crystal,shiny,1.0,Optical,Nike,Sport,Nike_crystal_NK5059,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Plastic,0,1,0,64.0
52,KO,NIKE OPTICAL,NIKE 5059,4615900,NIKE 5059/46/CLEAR/S,AMER,46,CLEAR/S,0.0,crystal,shiny,1.0,Optical,Nike,Sport,Nike_crystal_NK5059,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,289.0
53,KO,NIKE OPTICAL,NIKE 5059,4615900,NIKE 5059/46/CLEAR/S,AMER,46,CLEAR/S,0.0,crystal,shiny,1.0,Optical,Nike,Sport,Nike_crystal_NK5059,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,490.0
54,KO,NIKE OPTICAL,NIKE 5059,4615900,NIKE 5059/46/CLEAR/S,AMER,46,CLEAR/S,0.0,crystal,shiny,1.0,Optical,Nike,Sport,Nike_crystal_NK5059,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,647.0
55,KO,NIKE OPTICAL,NIKE 5059,4615900,NIKE 5059/46/CLEAR/S,AMER,46,CLEAR/S,64.0,crystal,shiny,1.0,Optical,Nike,Sport,Nike_crystal_NK5059,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,746.0
60,KO,NIKE OPTICAL,NIKE 5019,4715003,NIKE 5019/47/MATTE S,AMER,47,MATTE S,19.0,grey,matte,0.0,Optical,Nike,Sport,Nike_grey_40698,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Plastic,0,0,0,116.0
61,KO,NIKE OPTICAL,NIKE 5019,4715003,NIKE 5019/47/MATTE S,AMER,47,MATTE S,28.0,grey,matte,0.0,Optical,Nike,Sport,Nike_grey_40698,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Plastic,0,0,0,118.0
62,KO,NIKE OPTICAL,NIKE 5019,4715003,NIKE 5019/47/MATTE S,AMER,47,MATTE S,29.0,grey,matte,0.0,Optical,Nike,Sport,Nike_grey_40698,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Plastic,0,1,0,125.0
63,KO,NIKE OPTICAL,NIKE 5019,4715003,NIKE 5019/47/MATTE S,AMER,47,MATTE S,21.0,grey,matte,0.0,Optical,Nike,Sport,Nike_grey_40698,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Plastic,0,1,0,145.0
64,KO,NIKE OPTICAL,NIKE 5019,4715003,NIKE 5019/47/MATTE S,AMER,47,MATTE S,38.0,grey,matte,0.0,Optical,Nike,Sport,Nike_grey_40698,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,136.0
65,KO,NIKE OPTICAL,NIKE 5019,4715003,NIKE 5019/47/MATTE S,AMER,47,MATTE S,30.0,grey,matte,0.0,Optical,Nike,Sport,Nike_grey_40698,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,133.0
66,KO,NIKE OPTICAL,NIKE 5019,4715003,NIKE 5019/47/MATTE S,AMER,47,MATTE S,36.0,grey,matte,0.0,Optical,Nike,Sport,Nike_grey_40698,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,127.0
67,KO,NIKE OPTICAL,NIKE 5019,4715003,NIKE 5019/47/MATTE S,AMER,47,MATTE S,41.0,grey,matte,0.0,Optical,Nike,Sport,Nike_grey_40698,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,125.0
72,KO,NIKE OPTICAL,NIKE 5019,4715011,NIKE 5019/47/MATTE B,AMER,47,MATTE B,75.0,black,matte,0.0,Optical,Nike,Sport,Nike_black_40698,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Plastic,0,0,0,337.0
73,KO,NIKE OPTICAL,NIKE 5019,4715011,NIKE 5019/47/MATTE B,AMER,47,MATTE B,88.0,black,matte,0.0,Optical,Nike,Sport,Nike_black_40698,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Plastic,0,0,0,334.0
74,KO,NIKE OPTICAL,NIKE 5019,4715011,NIKE 5019/47/MATTE B,AMER,47,MATTE B,77.0,black,matte,0.0,Optical,Nike,Sport,Nike_black_40698,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Plastic,0,1,0,357.0
75,KO,NIKE OPTICAL,NIKE 5019,4715011,NIKE 5019/47/MATTE B,AMER,47,MATTE B,85.0,black,matte,0.0,Optical,Nike,Sport,Nike_black_40698,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Plastic,0,1,0,391.0
76,KO,NIKE OPTICAL,NIKE 5019,4715011,NIKE 5019/47/MATTE B,AMER,47,MATTE B,87.0,black,matte,0.0,Optical,Nike,Sport,Nike_black_40698,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,379.0
77,KO,NIKE OPTICAL,NIKE 5019,4715011,NIKE 5019/47/MATTE B,AMER,47,MATTE B,85.0,black,matte,0.0,Optical,Nike,Sport,Nike_black_40698,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,368.0
78,KO,NIKE OPTICAL,NIKE 5019,4715011,NIKE 5019/47/MATTE B,AMER,47,MATTE B,100.0,black,matte,0.0,Optical,Nike,Sport,Nike_black_40698,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,355.0
79,KO,NIKE OPTICAL,NIKE 5019,4715011,NIKE 5019/47/MATTE B,AMER,47,MATTE B,119.0,black,matte,0.0,Optical,Nike,Sport,Nike_black_40698,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,329.0
84,KO,NIKE OPTICAL,NIKE 5019,4715422,NIKE 5019/47/MATTE M,AMER,47,MATTE M,118.0,blue,matte,0.0,Optical,Nike,Sport,Nike_blue_40698,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Plastic,0,0,0,607.0
85,KO,NIKE OPTICAL,NIKE 5019,4715422,NIKE 5019/47/MATTE M,AMER,47,MATTE M,152.0,blue,matte,0.0,Optical,Nike,Sport,Nike_blue_40698,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Plastic,0,0,0,626.0
86,KO,NIKE OPTICAL,NIKE 5019,4715422,NIKE 5019/47/MATTE M,AMER,47,MATTE M,142.0,blue,matte,0.0,Optical,Nike,Sport,Nike_blue_40698,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Plastic,0,1,0,636.0
87,KO,NIKE OPTICAL,NIKE 5019,4715422,NIKE 5019/47/MATTE M,AMER,47,MATTE M,144.0,blue,matte,0.0,Optical,Nike,Sport,Nike_blue_40698,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Plastic,0,1,0,663.0
88,KO,NIKE OPTICAL,NIKE 5019,4715422,NIKE 5019/47/MATTE M,AMER,47,MATTE M,169.0,blue,matte,0.0,Optical,Nike,Sport,Nike_blue_40698,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,631.0
89,KO,NIKE OPTICAL,NIKE 5019,4715422,NIKE 5019/47/MATTE M,AMER,47,MATTE M,171.0,blue,matte,0.0,Optical,Nike,Sport,Nike_blue_40698,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,616.0
90,KO,NIKE OPTICAL,NIKE 5019,4715422,NIKE 5019/47/MATTE M,AMER,47,MATTE M,152.0,blue,matte,0.0,Optical,Nike,Sport,Nike_blue_40698,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,604.0
91,KO,NIKE OPTICAL,NIKE 5019,4715422,NIKE 5019/47/MATTE M,AMER,47,MATTE M,171.0,blue,matte,0.0,Optical,Nike,Sport,Nike_blue_40698,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,599.0
96,KO,NIKE OPTICAL,NIKE 5019,4715508,NIKE 5019/47/MATTE G,AMER,47,MATTE G,33.0,grey,matte,0.0,Optical,Nike,Sport,Nike_grey_40698,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Plastic,0,0,0,193.0
97,KO,NIKE OPTICAL,NIKE 5019,4715508,NIKE 5019/47/MATTE G,AMER,47,MATTE G,43.0,grey,matte,0.0,Optical,Nike,Sport,Nike_grey_40698,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Plastic,0,0,0,214.0
98,KO,NIKE OPTICAL,NIKE 5019,4715508,NIKE 5019/47/MATTE G,AMER,47,MATTE G,49.0,grey,matte,0.0,Optical,Nike,Sport,Nike_grey_40698,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Plastic,0,1,0,216.0
99,KO,NIKE OPTICAL,NIKE 5019,4715508,NIKE 5019/47/MATTE G,AMER,47,MATTE G,39.0,grey,matte,0.0,Optical,Nike,Sport,Nike_grey_40698,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Plastic,0,1,0,240.0
100,KO,NIKE OPTICAL,NIKE 5019,4715508,NIKE 5019/47/MATTE G,AMER,47,MATTE G,62.0,grey,matte,0.0,Optical,Nike,Sport,Nike_grey_40698,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,217.0
101,KO,NIKE OPTICAL,NIKE 5019,4715508,NIKE 5019/47/MATTE G,AMER,47,MATTE G,64.0,grey,matte,0.0,Optical,Nike,Sport,Nike_grey_40698,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,203.0
102,KO,NIKE OPTICAL,NIKE 5019,4715508,NIKE 5019/47/MATTE G,AMER,47,MATTE G,51.0,grey,matte,0.0,Optical,Nike,Sport,Nike_grey_40698,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,187.0
103,KO,NIKE OPTICAL,NIKE 5019,4715508,NIKE 5019/47/MATTE G,AMER,47,MATTE G,63.0,grey,matte,0.0,Optical,Nike,Sport,Nike_grey_40698,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,169.0
108,KO,NIKE OPTICAL,NIKE 5036,4717003,NIKE 5036/47/Black/C,AMER,47,Black/C,30.0,black,shiny,1.0,Optical,Nike,Sport,Nike_black_NK5036,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Square,Full,Plastic,0,0,0,99.0
109,KO,NIKE OPTICAL,NIKE 5036,4717003,NIKE 5036/47/Black/C,AMER,47,Black/C,19.0,black,shiny,1.0,Optical,Nike,Sport,Nike_black_NK5036,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Square,Full,Plastic,0,0,0,119.0
110,KO,NIKE OPTICAL,NIKE 5036,4717003,NIKE 5036/47/Black/C,AMER,47,Black/C,23.0,black,shiny,1.0,Optical,Nike,Sport,Nike_black_NK5036,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Square,Full,Plastic,0,1,0,130.0
111,KO,NIKE OPTICAL,NIKE 5036,4717003,NIKE 5036/47/Black/C,AMER,47,Black/C,20.0,black,shiny,1.0,Optical,Nike,Sport,Nike_black_NK5036,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Square,Full,Plastic,0,1,0,145.0
112,KO,NIKE OPTICAL,NIKE 5036,4717003,NIKE 5036/47/Black/C,AMER,47,Black/C,37.0,black,shiny,1.0,Optical,Nike,Sport,Nike_black_NK5036,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Square,Full,Plastic,0,0,1,135.0
113,KO,NIKE OPTICAL,NIKE 5036,4717003,NIKE 5036/47/Black/C,AMER,47,Black/C,39.0,black,shiny,1.0,Optical,Nike,Sport,Nike_black_NK5036,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Square,Full,Plastic,0,0,0,123.0
114,KO,NIKE OPTICAL,NIKE 5036,4717003,NIKE 5036/47/Black/C,AMER,47,Black/C,34.0,black,shiny,1.0,Optical,Nike,Sport,Nike_black_NK5036,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Square,Full,Plastic,0,0,0,109.0
115,KO,NIKE OPTICAL,NIKE 5036,4717003,NIKE 5036/47/Black/C,AMER,47,Black/C,35.0,black,shiny,1.0,Optical,Nike,Sport,Nike_black_NK5036,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Square,Full,Plastic,0,0,0,105.0
120,KO,NIKE OPTICAL,NIKE 5036,4717024,NIKE 5036/47/Footbal,AMER,47,Footbal,114.0,grey,shiny,0.0,Optical,Nike,Sport,Nike_grey_NK5036,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Square,Full,Plastic,0,0,0,451.0
121,KO,NIKE OPTICAL,NIKE 5036,4717024,NIKE 5036/47/Footbal,AMER,47,Footbal,104.0,grey,shiny,0.0,Optical,Nike,Sport,Nike_grey_NK5036,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Square,Full,Plastic,0,0,0,507.0
122,KO,NIKE OPTICAL,NIKE 5036,4717024,NIKE 5036/47/Footbal,AMER,47,Footbal,128.0,grey,shiny,0.0,Optical,Nike,Sport,Nike_grey_NK5036,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Square,Full,Plastic,0,1,0,525.0
